date,season,home_team,away_team,home_goals,away_goals
2024-08-11,2024-2025,afc ajax,sc heerenveen,1,0
2024-08-11,2024-2025,fc utrecht,pec zwolle,1,0
2024-08-11,2024-2025,go ahead eagles,fortuna sittard,0,2
2024-08-11,2024-2025,sparta rotterdam,heracles almelo,0,0
2024-08-16,2024-2025,fortuna sittard,almere city fc,3,0
2024-08-17,2024-2025,rkc waalwijk,fc groningen,1,2
2024-08-17,2024-2025,sc heerenveen,fc utrecht,1,1
2024-08-17,2024-2025,fc twente,sparta rotterdam,1,1
2024-08-17,2024-2025,alkmaar zaanstreek,nijmegen eendracht combinatie,1,0
2024-08-18,2024-2025,willem ii,go ahead eagles,2,0
2024-08-18,2024-2025,heracles almelo,psv eindhoven,1,3
2024-08-18,2024-2025,pec zwolle,feyenoord rotterdam,1,5
2024-08-18,2024-2025,nac breda,afc ajax,2,1
2024-08-24,2024-2025,nijmegen eendracht combinatie,pec zwolle,1,0
2024-08-24,2024-2025,almere city fc,psv eindhoven,1,7
2024-08-24,2024-2025,nac breda,fc utrecht,1,2
2024-08-25,2024-2025,go ahead eagles,rkc waalwijk,2,0
2024-08-25,2024-2025,fc groningen,alkmaar zaanstreek,0,0
2024-08-25,2024-2025,heracles almelo,willem ii,1,1
2024-08-25,2024-2025,sparta rotterdam,feyenoord rotterdam,1,1
2024-08-30,2024-2025,rkc waalwijk,alkmaar zaanstreek,0,3
2024-08-31,2024-2025,sc heerenveen,nac breda,4,0
2024-08-31,2024-2025,willem ii,sparta rotterdam,1,2
2024-08-31,2024-2025,almere city fc,fc groningen,1,1
2024-08-31,2024-2025,fortuna sittard,nijmegen eendracht combinatie,0,3
2024-09-01,2024-2025,fc utrecht,fc twente,2,1
2024-09-01,2024-2025,pec zwolle,heracles almelo,3,0
2024-09-01,2024-2025,psv eindhoven,go ahead eagles,3,0
2024-09-14,2024-2025,nac breda,fortuna sittard,1,0
2024-09-14,2024-2025,fc groningen,feyenoord rotterdam,2,2
2024-09-14,2024-2025,alkmaar zaanstreek,sc heerenveen,9,1
2024-09-14,2024-2025,psv eindhoven,nijmegen eendracht combinatie,2,0
2024-09-14,2024-2025,fc twente,pec zwolle,1,1
2024-09-15,2024-2025,sparta rotterdam,go ahead eagles,1,2
2024-09-15,2024-2025,willem ii,rkc waalwijk,3,0
2024-09-15,2024-2025,heracles almelo,almere city fc,0,0
2024-09-17,2024-2025,fc twente,sc heerenveen,2,0
2024-09-18,2024-2025,afc ajax,fortuna sittard,5,0
2024-09-20,2024-2025,pec zwolle,alkmaar zaanstreek,1,2
2024-09-21,2024-2025,nijmegen eendracht combinatie,heracles almelo,1,2
2024-09-21,2024-2025,go ahead eagles,afc ajax,1,1
2024-09-21,2024-2025,fc utrecht,willem ii,3,2
2024-09-21,2024-2025,rkc waalwijk,sparta rotterdam,1,2
2024-09-22,2024-2025,sc heerenveen,fc groningen,2,1
2024-09-22,2024-2025,almere city fc,fc twente,0,5
2024-09-22,2024-2025,feyenoord rotterdam,nac breda,2,0
2024-09-22,2024-2025,fortuna sittard,psv eindhoven,1,3
2024-09-27,2024-2025,heracles almelo,sc heerenveen,2,1
2024-09-28,2024-2025,nijmegen eendracht combinatie,feyenoord rotterdam,1,1
2024-09-28,2024-2025,sparta rotterdam,fortuna sittard,1,1
2024-09-28,2024-2025,willem ii,psv eindhoven,0,2
2024-09-29,2024-2025,alkmaar zaanstreek,fc utrecht,1,2
2024-09-29,2024-2025,rkc waalwijk,afc ajax,0,2
2024-09-29,2024-2025,pec zwolle,almere city fc,1,0
2024-09-29,2024-2025,fc twente,nac breda,1,0
2024-09-29,2024-2025,fc groningen,go ahead eagles,0,1
2024-10-04,2024-2025,almere city fc,willem ii,0,1
2024-10-05,2024-2025,nac breda,nijmegen eendracht combinatie,1,0
2024-10-05,2024-2025,psv eindhoven,sparta rotterdam,2,1
2024-10-05,2024-2025,fc utrecht,rkc waalwijk,3,2
2024-10-06,2024-2025,feyenoord rotterdam,fc twente,2,1
2024-10-06,2024-2025,go ahead eagles,heracles almelo,4,1
2024-10-06,2024-2025,fortuna sittard,alkmaar zaanstreek,1,0
2024-10-06,2024-2025,afc ajax,fc groningen,3,1
2024-10-06,2024-2025,sc heerenveen,pec zwolle,1,1
2024-10-19,2024-2025,sparta rotterdam,almere city fc,2,2
2024-10-19,2024-2025,alkmaar zaanstreek,psv eindhoven,1,2
2024-10-19,2024-2025,nijmegen eendracht combinatie,sc heerenveen,3,0
2024-10-19,2024-2025,go ahead eagles,feyenoord rotterdam,1,5
2024-10-19,2024-2025,rkc waalwijk,fc twente,2,2
2024-10-20,2024-2025,heracles almelo,afc ajax,3,4
2024-10-20,2024-2025,pec zwolle,nac breda,1,2
2024-10-20,2024-2025,fc groningen,fc utrecht,0,1
2024-10-20,2024-2025,willem ii,fortuna sittard,0,0
2024-10-25,2024-2025,almere city fc,nijmegen eendracht combinatie,1,0
2024-10-26,2024-2025,sc heerenveen,sparta rotterdam,2,0
2024-10-26,2024-2025,nac breda,rkc waalwijk,4,1
2024-10-26,2024-2025,psv eindhoven,pec zwolle,6,0
2024-10-26,2024-2025,fortuna sittard,fc groningen,1,0
2024-10-27,2024-2025,alkmaar zaanstreek,go ahead eagles,2,2
2024-10-27,2024-2025,afc ajax,willem ii,1,0
2024-10-27,2024-2025,fc utrecht,feyenoord rotterdam,0,2
2024-10-27,2024-2025,fc twente,heracles almelo,5,0
2024-10-30,2024-2025,feyenoord rotterdam,afc ajax,0,2
2024-11-02,2024-2025,fortuna sittard,sc heerenveen,3,0
2024-11-02,2024-2025,willem ii,fc twente,0,1
2024-11-02,2024-2025,afc ajax,psv eindhoven,3,2
2024-11-02,2024-2025,heracles almelo,nac breda,2,0
2024-11-02,2024-2025,feyenoord rotterdam,alkmaar zaanstreek,3,2
2024-11-03,2024-2025,nijmegen eendracht combinatie,fc groningen,6,0
2024-11-03,2024-2025,go ahead eagles,pec zwolle,2,2
2024-11-03,2024-2025,rkc waalwijk,almere city fc,2,0
2024-11-03,2024-2025,sparta rotterdam,fc utrecht,1,4
2024-11-08,2024-2025,fc utrecht,heracles almelo,1,0
2024-11-09,2024-2025,fc groningen,sparta rotterdam,1,0
2024-11-09,2024-2025,pec zwolle,fortuna sittard,3,1
2024-11-09,2024-2025,nac breda,psv eindhoven,0,3
2024-11-09,2024-2025,rkc waalwijk,nijmegen eendracht combinatie,0,3
2024-11-10,2024-2025,sc heerenveen,go ahead eagles,1,0
2024-11-10,2024-2025,almere city fc,feyenoord rotterdam,1,4
2024-11-10,2024-2025,fc twente,afc ajax,2,2
2024-11-10,2024-2025,alkmaar zaanstreek,willem ii,1,2
2024-11-23,2024-2025,go ahead eagles,almere city fc,3,0
2024-11-23,2024-2025,heracles almelo,rkc waalwijk,2,2
2024-11-23,2024-2025,feyenoord rotterdam,sc heerenveen,3,0
2024-11-23,2024-2025,psv eindhoven,fc groningen,5,0
2024-11-23,2024-2025,fortuna sittard,fc twente,1,2
2024-11-24,2024-2025,willem ii,nac breda,2,2
2024-11-24,2024-2025,afc ajax,pec zwolle,2,0
2024-11-24,2024-2025,sparta rotterdam,alkmaar zaanstreek,1,2
2024-11-24,2024-2025,nijmegen eendracht combinatie,fc utrecht,1,2
2024-11-29,2024-2025,sc heerenveen,rkc waalwijk,1,1
2024-11-30,2024-2025,feyenoord rotterdam,fortuna sittard,1,1
2024-11-30,2024-2025,pec zwolle,sparta rotterdam,1,0
2024-11-30,2024-2025,nac breda,almere city fc,1,0
2024-11-30,2024-2025,fc groningen,willem ii,2,0
2024-12-01,2024-2025,fc utrecht,psv eindhoven,2,5
2024-12-01,2024-2025,alkmaar zaanstreek,heracles almelo,1,0
2024-12-01,2024-2025,fc twente,go ahead eagles,3,2
2024-12-01,2024-2025,nijmegen eendracht combinatie,afc ajax,1,2
2024-12-04,2024-2025,afc ajax,fc utrecht,2,2
2024-12-06,2024-2025,psv eindhoven,fc twente,6,1
2024-12-07,2024-2025,heracles almelo,fortuna sittard,2,2
2024-12-07,2024-2025,rkc waalwijk,feyenoord rotterdam,2,3
2024-12-07,2024-2025,go ahead eagles,nijmegen eendracht combinatie,5,0
2024-12-07,2024-2025,sparta rotterdam,nac breda,0,2
2024-12-08,2024-2025,almere city fc,fc utrecht,1,3
2024-12-08,2024-2025,alkmaar zaanstreek,afc ajax,2,1
2024-12-08,2024-2025,willem ii,sc heerenveen,1,2
2024-12-08,2024-2025,fc groningen,pec zwolle,0,0
2024-12-13,2024-2025,pec zwolle,willem ii,0,1
2024-12-14,2024-2025,sc heerenveen,psv eindhoven,1,0
2024-12-14,2024-2025,fortuna sittard,rkc waalwijk,3,2
2024-12-14,2024-2025,feyenoord rotterdam,heracles almelo,5,2
2024-12-15,2024-2025,afc ajax,almere city fc,3,0
2024-12-15,2024-2025,fc utrecht,go ahead eagles,3,3
2024-12-15,2024-2025,nijmegen eendracht combinatie,sparta rotterdam,1,1
2024-12-15,2024-2025,fc twente,fc groningen,2,0
2024-12-15,2024-2025,nac breda,alkmaar zaanstreek,1,2
2024-12-20,2024-2025,rkc waalwijk,pec zwolle,1,1
2024-12-21,2024-2025,alkmaar zaanstreek,fc twente,1,0
2024-12-21,2024-2025,go ahead eagles,nac breda,2,1
2024-12-21,2024-2025,almere city fc,sc heerenveen,3,0
2024-12-22,2024-2025,fc utrecht,fortuna sittard,2,5
2024-12-22,2024-2025,willem ii,nijmegen eendracht combinatie,4,1
2024-12-22,2024-2025,sparta rotterdam,afc ajax,0,2
2024-12-22,2024-2025,psv eindhoven,feyenoord rotterdam,3,0
2025-01-10,2024-2025,fortuna sittard,go ahead eagles,0,3
2025-01-11,2024-2025,psv eindhoven,alkmaar zaanstreek,2,2
2025-01-11,2024-2025,pec zwolle,nijmegen eendracht combinatie,0,1
2025-01-11,2024-2025,heracles almelo,sparta rotterdam,1,1
2025-01-11,2024-2025,afc ajax,rkc waalwijk,2,1
2025-01-12,2024-2025,feyenoord rotterdam,fc utrecht,1,2
2025-01-12,2024-2025,nac breda,sc heerenveen,2,4
2025-01-12,2024-2025,fc twente,willem ii,6,2
2025-01-12,2024-2025,fc groningen,almere city fc,0,0
2025-01-18,2024-2025,willem ii,feyenoord rotterdam,1,1
2025-01-18,2024-2025,go ahead eagles,fc groningen,2,1
2025-01-18,2024-2025,pec zwolle,psv eindhoven,3,1
2025-01-18,2024-2025,fc utrecht,alkmaar zaanstreek,0,0
2025-01-19,2024-2025,nac breda,fc twente,2,1
2025-01-19,2024-2025,almere city fc,heracles almelo,0,2
2025-01-19,2024-2025,sc heerenveen,afc ajax,0,2
2025-01-19,2024-2025,nijmegen eendracht combinatie,fortuna sittard,4,1
2025-01-19,2024-2025,sparta rotterdam,rkc waalwijk,1,1
2025-01-24,2024-2025,heracles almelo,fc utrecht,1,1
2025-01-25,2024-2025,psv eindhoven,nac breda,3,2
2025-01-25,2024-2025,fc groningen,sc heerenveen,1,0
2025-01-26,2024-2025,rkc waalwijk,willem ii,2,0
2025-01-26,2024-2025,alkmaar zaanstreek,sparta rotterdam,1,2
2025-01-26,2024-2025,fortuna sittard,pec zwolle,1,4
2025-01-28,2024-2025,heracles almelo,fc groningen,1,1
2025-01-31,2024-2025,nac breda,heracles almelo,1,1
2025-02-01,2024-2025,pec zwolle,fc utrecht,3,3
2025-02-01,2024-2025,sc heerenveen,fortuna sittard,2,2
2025-02-01,2024-2025,nijmegen eendracht combinatie,psv eindhoven,3,3
2025-02-02,2024-2025,sparta rotterdam,fc groningen,1,0
2025-02-02,2024-2025,willem ii,alkmaar zaanstreek,0,2
2025-02-02,2024-2025,go ahead eagles,fc twente,2,2
2025-02-02,2024-2025,almere city fc,rkc waalwijk,1,4
2025-02-02,2024-2025,afc ajax,feyenoord rotterdam,2,1
2025-02-08,2024-2025,heracles almelo,go ahead eagles,4,2
2025-02-08,2024-2025,psv eindhoven,willem ii,1,1
2025-02-08,2024-2025,fc groningen,nijmegen eendracht combinatie,2,1
2025-02-08,2024-2025,feyenoord rotterdam,sparta rotterdam,3,0
2025-02-09,2024-2025,sc heerenveen,fc twente,3,3
2025-02-09,2024-2025,fortuna sittard,afc ajax,0,2
2025-02-09,2024-2025,rkc waalwijk,nac breda,5,0
2025-02-09,2024-2025,fc utrecht,almere city fc,0,1
2025-02-09,2024-2025,alkmaar zaanstreek,pec zwolle,2,0
2025-02-14,2024-2025,go ahead eagles,sparta rotterdam,1,0
2025-02-15,2024-2025,nac breda,feyenoord rotterdam,0,0
2025-02-15,2024-2025,willem ii,fc groningen,1,3
2025-02-15,2024-2025,psv eindhoven,fc utrecht,2,2
2025-02-16,2024-2025,pec zwolle,sc heerenveen,1,1
2025-02-16,2024-2025,afc ajax,heracles almelo,4,0
2025-02-16,2024-2025,nijmegen eendracht combinatie,almere city fc,2,2
2025-02-16,2024-2025,fc twente,rkc waalwijk,2,0
2025-02-22,2024-2025,feyenoord rotterdam,almere city fc,2,1
2025-02-23,2024-2025,fc twente,nijmegen eendracht combinatie,2,0
2025-02-23,2024-2025,afc ajax,go ahead eagles,2,0
2025-02-23,2024-2025,alkmaar zaanstreek,fortuna sittard,1,0
2025-02-28,2024-2025,rkc waalwijk,fortuna sittard,1,2
2025-03-01,2024-2025,feyenoord rotterdam,nijmegen eendracht combinatie,0,0
2025-03-01,2024-2025,fc groningen,fc twente,1,1
2025-03-01,2024-2025,fc utrecht,nac breda,1,0
2025-03-01,2024-2025,go ahead eagles,psv eindhoven,3,2
2025-03-02,2024-2025,sparta rotterdam,willem ii,4,0
2025-03-02,2024-2025,heracles almelo,pec zwolle,4,2
2025-03-02,2024-2025,almere city fc,afc ajax,0,1
2025-03-02,2024-2025,sc heerenveen,alkmaar zaanstreek,3,1
2025-03-07,2024-2025,nac breda,sparta rotterdam,1,1
2025-03-08,2024-2025,fortuna sittard,heracles almelo,1,0
2025-03-08,2024-2025,psv eindhoven,sc heerenveen,2,1
2025-03-09,2024-2025,willem ii,fc utrecht,2,3
2025-03-09,2024-2025,nijmegen eendracht combinatie,go ahead eagles,2,3
2025-03-09,2024-2025,pec zwolle,afc ajax,0,1
2025-03-09,2024-2025,fc twente,almere city fc,1,0
2025-03-14,2024-2025,almere city fc,nac breda,1,1
2025-03-15,2024-2025,fc utrecht,nijmegen eendracht combinatie,0,1
2025-03-15,2024-2025,sparta rotterdam,pec zwolle,1,1
2025-03-15,2024-2025,rkc waalwijk,psv eindhoven,0,3
2025-03-15,2024-2025,sc heerenveen,heracles almelo,1,1
2025-03-16,2024-2025,fc twente,feyenoord rotterdam,2,6
2025-03-16,2024-2025,go ahead eagles,willem ii,1,0
2025-03-16,2024-2025,afc ajax,alkmaar zaanstreek,2,2
2025-03-16,2024-2025,fc groningen,fortuna sittard,1,0
2025-03-29,2024-2025,nac breda,fc groningen,1,1
2025-03-29,2024-2025,willem ii,almere city fc,0,2
2025-03-29,2024-2025,fortuna sittard,sparta rotterdam,0,3
2025-03-29,2024-2025,pec zwolle,rkc waalwijk,2,0
2025-03-29,2024-2025,nijmegen eendracht combinatie,alkmaar zaanstreek,3,3
2025-03-30,2024-2025,feyenoord rotterdam,go ahead eagles,3,2
2025-03-30,2024-2025,fc utrecht,sc heerenveen,2,0
2025-03-30,2024-2025,psv eindhoven,afc ajax,0,2
2025-03-30,2024-2025,heracles almelo,fc twente,2,1
2025-04-01,2024-2025,alkmaar zaanstreek,rkc waalwijk,2,2
2025-04-02,2024-2025,feyenoord rotterdam,fc groningen,4,1
2025-04-04,2024-2025,sc heerenveen,willem ii,3,1
2025-04-05,2024-2025,fc groningen,psv eindhoven,1,3
2025-04-05,2024-2025,almere city fc,pec zwolle,2,2
2025-04-05,2024-2025,alkmaar zaanstreek,feyenoord rotterdam,0,1
2025-04-05,2024-2025,fc twente,fortuna sittard,1,1
2025-04-06,2024-2025,afc ajax,nac breda,3,1
2025-04-06,2024-2025,sparta rotterdam,nijmegen eendracht combinatie,2,0
2025-04-06,2024-2025,rkc waalwijk,heracles almelo,0,0
2025-04-06,2024-2025,go ahead eagles,fc utrecht,2,2
2025-04-11,2024-2025,nijmegen eendracht combinatie,rkc waalwijk,2,1
2025-04-12,2024-2025,psv eindhoven,almere city fc,5,0
2025-04-12,2024-2025,nac breda,go ahead eagles,1,1
2025-04-12,2024-2025,fortuna sittard,feyenoord rotterdam,0,2
2025-04-12,2024-2025,sparta rotterdam,sc heerenveen,3,1
2025-04-13,2024-2025,fc utrecht,fc groningen,3,1
2025-04-13,2024-2025,pec zwolle,fc twente,1,1
2025-04-13,2024-2025,heracles almelo,alkmaar zaanstreek,1,0
2025-04-13,2024-2025,willem ii,afc ajax,1,2
2025-04-19,2024-2025,sc heerenveen,almere city fc,2,1
2025-04-20,2024-2025,fc utrecht,afc ajax,4,0
2025-04-23,2024-2025,fc groningen,heracles almelo,4,1
2025-04-24,2024-2025,fc twente,psv eindhoven,1,3
2025-04-24,2024-2025,alkmaar zaanstreek,nac breda,1,1
2025-04-25,2024-2025,rkc waalwijk,fc utrecht,0,4
2025-04-25,2024-2025,feyenoord rotterdam,pec zwolle,4,0
2025-04-27,2024-2025,almere city fc,go ahead eagles,0,0
2025-04-27,2024-2025,afc ajax,sparta rotterdam,1,1
2025-04-27,2024-2025,fortuna sittard,willem ii,1,0
2025-04-27,2024-2025,sc heerenveen,nijmegen eendracht combinatie,1,0
2025-05-03,2024-2025,nijmegen eendracht combinatie,willem ii,1,1
2025-05-03,2024-2025,heracles almelo,feyenoord rotterdam,1,4
2025-05-03,2024-2025,fc groningen,rkc waalwijk,6,1
2025-05-03,2024-2025,psv eindhoven,fortuna sittard,4,1
2025-05-04,2024-2025,nac breda,pec zwolle,1,3
2025-05-04,2024-2025,go ahead eagles,alkmaar zaanstreek,0,3
2025-05-04,2024-2025,sparta rotterdam,fc twente,0,2
2025-05-09,2024-2025,willem ii,heracles almelo,1,2
2025-05-10,2024-2025,rkc waalwijk,sc heerenveen,3,1
2025-05-10,2024-2025,fortuna sittard,nac breda,1,0
2025-05-10,2024-2025,almere city fc,sparta rotterdam,0,3
2025-05-11,2024-2025,pec zwolle,go ahead eagles,1,1
2025-05-11,2024-2025,feyenoord rotterdam,psv eindhoven,2,3
2025-05-11,2024-2025,fc twente,fc utrecht,2,0
2025-05-11,2024-2025,afc ajax,nijmegen eendracht combinatie,0,3
2025-05-11,2024-2025,alkmaar zaanstreek,fc groningen,3,0
2025-05-14,2024-2025,fc twente,alkmaar zaanstreek,2,3
2025-05-14,2024-2025,willem ii,pec zwolle,1,2
2025-05-14,2024-2025,fc utrecht,sparta rotterdam,1,1
2025-05-14,2024-2025,almere city fc,fortuna sittard,1,1
2025-05-14,2024-2025,go ahead eagles,sc heerenveen,1,0
2025-05-14,2024-2025,fc groningen,afc ajax,2,2
2025-05-14,2024-2025,nijmegen eendracht combinatie,nac breda,3,0
2025-05-14,2024-2025,feyenoord rotterdam,rkc waalwijk,2,0
2025-05-14,2024-2025,psv eindhoven,heracles almelo,4,1
2025-05-18,2024-2025,nac breda,willem ii,1,1
2025-05-18,2024-2025,heracles almelo,nijmegen eendracht combinatie,1,2
2025-05-18,2024-2025,pec zwolle,fc groningen,2,0
2025-05-18,2024-2025,fortuna sittard,fc utrecht,0,0
2025-05-18,2024-2025,afc ajax,fc twente,2,0
2025-05-18,2024-2025,sparta rotterdam,psv eindhoven,1,3
2025-05-18,2024-2025,rkc waalwijk,go ahead eagles,5,3
2025-05-18,2024-2025,sc heerenveen,feyenoord rotterdam,2,0
2025-05-18,2024-2025,alkmaar zaanstreek,almere city fc,1,1
2025-05-22,2024-2025,alkmaar zaanstreek,sc heerenveen,4,1
2025-05-22,2024-2025,fc twente,nijmegen eendracht combinatie,3,2
2025-05-25,2024-2025,alkmaar zaanstreek,fc twente,3,2
